strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,none,none,676,32.1,1.18,21.14,0.77,7.76,1.24,17.88,187,36.4,1.08,3.26,0.35,6.16,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,18,none,679,37.3,1.09,19.67,0.49,14.26,1.07,10.38,187,40.1,1.12,9.29,0.56,11.55,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,18,none,679,32.8,1.07,8.21,0.37,11.22,1.06,4.52,187,36.4,1.09,3.69,0.41,6.04,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,30,none,676,36.8,1.16,34.85,0.77,11.35,1.17,24.14,187,40.1,1.13,10.71,0.62,11.28,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,30,none,676,32.2,1.16,18.38,0.68,7.95,1.19,14.42,187,36.4,1.1,3.97,0.41,6.2,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,48,none,676,36.7,1.19,43.12,0.92,10.75,1.22,30.52,187,40.1,1.16,12.6,0.71,10.93,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,48,none,676,32.1,1.21,23.73,0.84,7.7,1.25,18.98,187,36.4,1.12,4.75,0.48,6.08,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,none,15,635,35.9,1.19,39.37,0.9,11.46,1.21,27.22,177,39.5,1.16,12.14,0.71,10.15,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,none,15,635,31.2,1.2,21.6,0.82,8.05,1.25,17.4,177,35.6,1.11,4.2,0.45,5.58,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,18,15,636,36.3,1.08,16.78,0.44,15.91,1.05,6.37,177,39.5,1.13,10.41,0.63,10.57,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,18,15,636,31.8,1.07,7.68,0.36,11.88,1.04,3.04,177,35.6,1.12,4.63,0.52,5.44,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,30,15,635,36.1,1.17,35.58,0.82,11.84,1.18,23.75,177,39.5,1.15,11.83,0.69,10.34,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,30,15,635,31.3,1.18,20.13,0.78,8.16,1.22,15.22,177,35.6,1.13,4.91,0.51,5.62,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,48,15,635,35.9,1.2,41.63,0.93,11.4,1.21,27.91,177,39.5,1.18,13.72,0.77,10.02,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,48,15,635,31.2,1.22,23.83,0.88,8.0,1.26,18.14,177,35.6,1.15,5.69,0.57,5.51,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,none,20,461,33.2,1.05,8.77,0.27,12.66,1.09,9.1,134,38.8,0.99,-0.33,-0.02,12.47,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,none,20,461,29.3,1.07,6.06,0.31,8.66,1.15,8.03,134,34.3,0.94,-1.97,-0.25,7.74,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,18,20,461,33.4,0.95,-8.39,-0.3,21.26,0.93,-7.18,134,38.8,0.98,-1.21,-0.08,12.57,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,18,20,461,29.5,0.95,-4.42,-0.28,12.97,0.94,-3.04,134,34.3,0.96,-1.38,-0.18,6.52,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,30,20,461,33.4,1.04,7.11,0.22,13.04,1.07,6.58,134,38.8,1.01,0.53,0.03,12.38,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,30,20,461,29.5,1.07,5.77,0.3,8.35,1.12,6.45,134,34.3,0.98,-0.68,-0.08,6.48,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,48,20,461,33.2,1.07,10.68,0.33,12.6,1.1,9.68,134,38.8,1.02,1.0,0.07,12.33,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,48,20,461,29.3,1.09,7.92,0.4,8.41,1.16,8.61,134,34.3,0.98,-0.7,-0.08,7.64,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,none,25,264,31.8,0.98,-1.52,-0.09,21.2,0.93,-3.89,77,41.6,1.07,2.37,0.21,10.23,,,,,
